timestamp,open,high,low,close,volume
1633345200000,1.162,1.16337,1.16186,1.16333,4559.8101
1633348800000,1.16334,1.164,1.16313,1.16325,5883.6001
1633352400000,1.16326,1.16334,1.16237,1.16295,5655.5898
1633356000000,1.16295,1.16394,1.16216,1.16241,9301.04
1633359600000,1.16238,1.16284,1.1615,1.16205,6372.7798
1633363200000,1.16206,1.16231,1.16156,1.16188,3555.9199
1633366800000,1.16188,1.16221,1.1616,1.162,2098.51
1633370400000,1.162,1.16279,1.16185,1.16234,2441.21
1633374000000,1.16233,1.16242,1.16167,1.1621,1604.72
1633377600000,1.16211,1.16228,1.16183,1.16189,938.1
1633381200000,1.16188,1.16197,1.16154,1.16193,562.135
1633384800000,1.16193,1.16218,1.1616,1.16162,774.08
1633388400000,1.16162,1.16183,1.16158,1.1616,880.36
1633392000000,1.16161,1.16198,1.16104,1.16115,3321.7
1633395600000,1.16113,1.16133,1.16027,1.1603,2435.26
1633399200000,1.1603,1.16078,1.1602,1.16055,1668.99
1633402800000,1.16056,1.16057,1.15981,1.15987,1122.2
1633406400000,1.15988,1.15996,1.15943,1.15947,1480.48
1633410000000,1.15946,1.15988,1.159,1.15942,1366.16
1633413600000,1.15943,1.16019,1.15936,1.15988,3541.3501
1633417200000,1.15987,1.16049,1.1592,1.15973,4861.6602
1633420800000,1.15976,1.16046,1.15961,1.15987,4532.0498
1633424400000,1.15987,1.16032,1.15958,1.16032,2879.53
1633428000000,1.16032,1.16032,1.15902,1.15942,3168.5901
1633431600000,1.15942,1.16051,1.15925,1.15977,4404.1401
1633435200000,1.15978,1.16053,1.15978,1.15999,4303.4102
1633438800000,1.15998,1.16012,1.1586,1.15951,6809.8398
1633442400000,1.15948,1.15952,1.15804,1.15921,7577.0698
1633446000000,1.15922,1.16131,1.15919,1.16087,6697.3799
1633449600000,1.16085,1.16122,1.16025,1.1605,3374.03
1633453200000,1.16052,1.1607,1.16007,1.16051,1833.54
1633456800000,1.16049,1.16082,1.15966,1.1597,1400.9399
1633460400000,1.1597,1.15982,1.15935,1.15963,1284.4
